--------------FCFS单队列--------------
taskID	到达时间	开始时间	服务时间	结束时间	周转时间	 带权周转时间
1			0			0			2			2			2			1.0
2			1			2			9			11			10			1.1
3			2			11			3			14			12			4.0
4			3			14			2			16			13			6.5
5			4			16			9			25			21			2.3
6			5			25			2			27			22			11.0
7			6			27			1			28			22			22.0
8			7			28			2			30			23			11.5
9			8			30			2			32			24			12.0
10			9			32			1			33			24			24.0
11			10			33			3			36			26			8.7
12			11			36			6			42			31			5.2
13			12			42			6			48			36			6.0
14			13			48			2			50			37			18.5
15			14			50			9			59			45			5.0
16			15			59			9			68			53			5.9
17			16			68			6			74			58			9.7
18			17			74			9			83			66			7.3
19			18			83			3			86			68			22.7
20			19			86			2			88			69			34.5
21			20			88			6			94			74			12.3
22			21			94			6			100			79			13.2
23			22			100			6			106			84			14.0
24			23			106			9			115			92			10.2
25			24			115			2			117			93			46.5
26			25			117			9			126			101			11.2
27			26			126			2			128			102			51.0
28			27			128			3			131			104			34.7
29			28			131			6			137			109			18.2
30			29			137			6			143			114			19.0
31			30			143			9			152			122			13.6
32			31			152			9			161			130			14.4
33			32			161			6			167			135			22.5
34			33			167			2			169			136			68.0
35			34			169			6			175			141			23.5
36			35			175			9			184			149			16.6
37			36			184			9			193			157			17.4
38			37			193			9			202			165			18.3
39			38			202			1			203			165			165.0
40			39			203			1			204			165			165.0
41			40			204			3			207			167			55.7
42			41			207			6			213			172			28.7
43			42			213			6			219			177			29.5
44			43			219			6			225			182			30.3
45			44			225			6			231			187			31.2
46			45			231			3			234			189			63.0
47			46			234			6			240			194			32.3
48			47			240			9			249			202			22.4
49			48			249			3			252			204			68.0
50			49			252			9			261			212			23.6
51			50			261			6			267			217			36.2
52			51			267			9			276			225			25.0
53			52			276			6			282			230			38.3
54			53			282			2			284			231			115.5
55			54			284			6			290			236			39.3
56			55			290			1			291			236			236.0
57			56			291			3			294			238			79.3
58			57			294			9			303			246			27.3
59			58			303			3			306			248			82.7
60			59			306			9			315			256			28.4
61			60			315			1			316			256			256.0
62			61			316			3			319			258			86.0
63			62			319			6			325			263			43.8
64			63			325			9			334			271			30.1
65			64			334			3			337			273			91.0
66			65			337			9			346			281			31.2
67			66			346			2			348			282			141.0
68			67			348			2			350			283			141.5
69			68			350			3			353			285			95.0
70			69			353			3			356			287			95.7
71			70			356			9			365			295			32.8
72			71			365			1			366			295			295.0
73			72			366			2			368			296			148.0
74			73			368			9			377			304			33.8
75			74			377			9			386			312			34.7
76			75			386			2			388			313			156.5
77			76			388			6			394			318			53.0
78			77			394			2			396			319			159.5
79			78			396			6			402			324			54.0
80			79			402			3			405			326			108.7
81			80			405			1			406			326			326.0
82			81			406			2			408			327			163.5
83			82			408			6			414			332			55.3
84			83			414			3			417			334			111.3
85			84			417			9			426			342			38.0
86			85			426			1			427			342			342.0
87			86			427			2			429			343			171.5
88			87			429			2			431			344			172.0
89			88			431			1			432			344			344.0
90			89			432			3			435			346			115.3
91			90			435			2			437			347			173.5
92			91			437			3			440			349			116.3
93			92			440			6			446			354			59.0
94			93			446			3			449			356			118.7
95			94			449			9			458			364			40.4
96			95			458			6			464			369			61.5
97			96			464			1			465			369			369.0
98			97			465			9			474			377			41.9
99			98			474			3			477			379			126.3
100			99			477			1			478			379			379.0
