--------------FCFS双队列--------------
taskID	到达时间	开始时间	服务时间	结束时间	周转时间	 带权周转时间
1			0			0			2			2			2			1.0
2			1			1			9			10			9			1.0
3			2			2			3			5			3			1.0
4			3			5			2			7			4			2.0
5			4			7			9			16			12			1.3
6			5			10			2			12			7			3.5
7			6			12			1			13			7			7.0
8			7			13			2			15			8			4.0
9			8			15			2			17			9			4.5
10			9			16			1			17			8			8.0
11			10			17			3			20			10			3.3
12			11			17			6			23			12			2.0
13			12			20			6			26			14			2.3
14			13			23			2			25			12			6.0
15			14			25			9			34			20			2.2
16			15			26			9			35			20			2.2
17			16			34			6			40			24			4.0
18			17			35			9			44			27			3.0
19			18			40			3			43			25			8.3
20			19			43			2			45			26			13.0
21			20			44			6			50			30			5.0
22			21			45			6			51			30			5.0
23			22			50			6			56			34			5.7
24			23			51			9			60			37			4.1
25			24			56			2			58			34			17.0
26			25			58			9			67			42			4.7
27			26			60			2			62			36			18.0
28			27			62			3			65			38			12.7
29			28			65			6			71			43			7.2
30			29			67			6			73			44			7.3
31			30			71			9			80			50			5.6
32			31			73			9			82			51			5.7
33			32			80			6			86			54			9.0
34			33			82			2			84			51			25.5
35			34			84			6			90			56			9.3
36			35			86			9			95			60			6.7
37			36			90			9			99			63			7.0
38			37			95			9			104			67			7.4
39			38			99			1			100			62			62.0
40			39			100			1			101			62			62.0
41			40			101			3			104			64			21.3
42			41			104			6			110			69			11.5
43			42			104			6			110			68			11.3
44			43			110			6			116			73			12.2
45			44			110			6			116			72			12.0
46			45			116			3			119			74			24.7
47			46			116			6			122			76			12.7
48			47			119			9			128			81			9.0
49			48			122			3			125			77			25.7
50			49			125			9			134			85			9.4
51			50			128			6			134			84			14.0
52			51			134			9			143			92			10.2
53			52			134			6			140			88			14.7
54			53			140			2			142			89			44.5
55			54			142			6			148			94			15.7
56			55			143			1			144			89			89.0
57			56			144			3			147			91			30.3
58			57			147			9			156			99			11.0
59			58			148			3			151			93			31.0
60			59			151			9			160			101			11.2
61			60			156			1			157			97			97.0
62			61			157			3			160			99			33.0
63			62			160			6			166			104			17.3
64			63			160			9			169			106			11.8
65			64			166			3			169			105			35.0
66			65			169			9			178			113			12.6
67			66			169			2			171			105			52.5
68			67			171			2			173			106			53.0
69			68			173			3			176			108			36.0
70			69			176			3			179			110			36.7
71			70			178			9			187			117			13.0
72			71			179			1			180			109			109.0
73			72			180			2			182			110			55.0
74			73			182			9			191			118			13.1
75			74			187			9			196			122			13.6
76			75			191			2			193			118			59.0
77			76			193			6			199			123			20.5
78			77			196			2			198			121			60.5
79			78			198			6			204			126			21.0
80			79			199			3			202			123			41.0
81			80			202			1			203			123			123.0
82			81			203			2			205			124			62.0
83			82			204			6			210			128			21.3
84			83			205			3			208			125			41.7
85			84			208			9			217			133			14.8
86			85			210			1			211			126			126.0
87			86			211			2			213			127			63.5
88			87			213			2			215			128			64.0
89			88			215			1			216			128			128.0
90			89			216			3			219			130			43.3
91			90			217			2			219			129			64.5
92			91			219			3			222			131			43.7
93			92			219			6			225			133			22.2
94			93			222			3			225			132			44.0
95			94			225			9			234			140			15.6
96			95			225			6			231			136			22.7
97			96			231			1			232			136			136.0
98			97			232			9			241			144			16.0
99			98			234			3			237			139			46.3
100			99			237			1			238			139			139.0
